player_id,avatar_age,avatar_gender,avatar_id,event_id
6427001,13,Male,Hispanic,602
6427002,13,Female,African American,602
6427004,13,Female,African American,602
6427005,13,Male,Hispanic,602
6427006,13,Female,African American,602
6427007,14,Male,African American,602
6427008,13,Male,African American,602
6427010,13,Male,African American,602
6427011,14,Male,African American,602
6427012,14,Female,African American,602
6427013,14,Male,Hispanic,602
6427014,14,Female,African American,602
6427015,14,Male,Caucasian,602
6427016,14,Female,African American,602
6427017,14,Male,African American,602
6427018,13,Male,Caucasian,602
6427019,14,Male,African American,602
6427021,13,Female,African American,602
6427022,14,Male,African American,602
6427023,14,Male,Hispanic,602
6427024,14,Male,African American,602
6427025,13,Male,African American,602
6427026,13,Female,Caucasian,602
6427027,12,Male,Caucasian,602
6427028,12,Female,Caucasian,602
6427029,11,Female,African American,602
6427030,11,Male,Hispanic,602
6427031,11,Male,African American,602
6427032,11,Male,African American,602
6427033,12,Male,Caucasian,602
6427034,13,Male,Caucasian,602
6427035,11,Female,Caucasian,602
6427036,11,Female,African American,602
6427037,12,Female,Caucasian,602
6427038,11,Female,Hispanic,602
6427039,12,Male,African American,602
6427040,13,Male,African American,602
6427041,11,Female,African American,602
6427042,14,Female,Hispanic,602
6427043,12,Male,African American,602
6429001,12,Male,Caucasian,602
6429002,14,Female,African American,602
6429003,12,Female,Hispanic,602
6430001,12,Female,African American,602
6430002,13,Female,African American,602
6430003,12,Male,Hispanic,602
6430004,11,Male,Hispanic,602
6430006,12,Male,African American,602
6430007,14,Male,Caucasian,602
6430008,11,Female,Hispanic,602
6430009,13,Male,Caucasian,602
6486001,14,Male,Hispanic,602
6486002,14,Male,Hispanic,602
6486003,12,Female,Hispanic,602
6486004,12,Female,Hispanic,602
6486005,13,Male,Hispanic,602
6486006,14,Female,Hispanic,602
6486007,12,Male,Hispanic,602
6486008,14,Female,Caucasian,602
6486009,14,Female,Hispanic,602
6486010,14,Male,Hispanic,602
6486011,11,Female,Hispanic,602
6486012,12,Male,African American,602
6486013,13,Male,Caucasian,602
6486014,14,Female,Caucasian,602
6486015,13,Female,Hispanic,602
6486016,13,Male,Caucasian,602
6486017,13,Female,Hispanic,602
6486018,12,Male,African American,602
6486019,13,Male,Hispanic,602
6486020,12,Male,Hispanic,602
6486021,14,Female,African American,602
6486022,14,Male,African American,602
6486023,14,Female,Hispanic,602
6486024,13,Female,Caucasian,602
6486025,14,Female,Caucasian,602
6486026,13,Male,African American,602
6486027,14,Male,Hispanic,602
6486028,13,Male,Caucasian,602
6486029,14,Male,Hispanic,602
6486030,14,Male,Hispanic,602
6486031,14,Male,African American,602
6486032,14,Male,Caucasian,602
6486033,13,Female,Caucasian,602
6486034,12,Female,Hispanic,602
6486035,12,Male,Caucasian,602
6486036,14,Male,Hispanic,602
6486037,13,Female,Caucasian,602
6486038,12,Female,Hispanic,602
6486039,11,Male,Caucasian,602
6486040,11,Female,Hispanic,602
6486041,12,Female,Caucasian,602
6486042,13,Male,Caucasian,602
6506001,11,Male,African American,602
6506002,11,Female,Hispanic,602
6506003,12,Female,African American,602
6506004,14,Female,Hispanic,602
6506005,13,Male,Caucasian,602
6506006,12,Male,Caucasian,602
6506007,12,Male,Hispanic,602
6506008,12,Male,Caucasian,602
6506009,11,Male,African American,602
6506010,13,Female,African American,602
6546001,12,Male,African American,602
6546002,12,Female,African American,602
6546003,12,Female,African American,602
6546004,12,Female,Hispanic,602
6546005,12,Male,Caucasian,602
6546006,11,Female,African American,602
6546007,11,Male,Hispanic,602
6546008,12,Male,Hispanic,602
6546009,11,Male,African American,602
6546010,12,Male,African American,602
6546011,11,Male,African American,602
6546012,11,Female,African American,602
6546013,11,Male,Caucasian,602
6566001,11,Female,African American,602
6566002,13,Female,African American,602
6566003,13,Male,Caucasian,602
6566004,11,Female,African American,602
6566005,12,Male,African American,602
6566006,11,Male,Hispanic,602
6566007,13,Male,Hispanic,602
6566008,12,Female,African American,602
6566009,13,Male,Caucasian,602
6567001,12,Female,Hispanic,602
6567002,14,Male,African American,602
6567003,13,Female,African American,602
6567004,13,Male,African American,602
6606001,11,Male,Hispanic,602
6606002,13,Female,Hispanic,602
6606003,14,Female,Hispanic,602
6606004,13,Female,African American,602
6606005,12,Female,Hispanic,602
6606006,12,Male,Caucasian,602
6606007,14,Male,Hispanic,602
6606008,14,Male,Caucasian,602
6606010,11,Female,Caucasian,602
6606011,14,Female,Caucasian,602
6607001,14,Female,Hispanic,602
6607002,13,Male,Hispanic,602
6607003,14,Male,Hispanic,602
6607004,12,Female,Hispanic,602
6607005,12,Male,Hispanic,602
6607006,13,Female,Hispanic,602
6607007,12,Female,Hispanic,602
6607008,13,Male,Caucasian,602
6607009,14,Male,Hispanic,602
6607010,12,Male,Hispanic,602
6607011,13,Female,Hispanic,602
6608001,11,Female,Hispanic,602
6608002,11,Female,Hispanic,602
6608003,13,Female,African American,602
6608004,13,Female,African American,602
6608005,14,Female,African American,602
6608006,12,Female,Hispanic,602
6626001,12,Female,African American,602
6626002,11,Female,African American,602
6626003,11,Male,African American,602
6626004,11,Female,Hispanic,602
6626005,11,Male,Hispanic,602
6626006,13,Male,Caucasian,602
6626007,11,Male,Caucasian,602
7540835,14,Female,Hispanic,602
65670031,12,Female,African American,602
65670032,12,Male,Hispanic,602
